"","Path","Category","FieldID","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding"
"157","Assessment Centre > Touchscreen > Health and medical history > Claudication and peripheral artery disease",100038,5507,"Leg pain on walking : action taken",51809,54689,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100549
"158","Assessment Centre > Touchscreen > Health and medical history > Claudication and peripheral artery disease",100038,5518,"Leg pain on walking : effect of standing still",51809,54689,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100550
"159","Assessment Centre > Touchscreen > Health and medical history > Claudication and peripheral artery disease",100038,5529,"Surgery on leg arteries (other than for varicose veins)",51809,54689,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100349
"160","Assessment Centre > Touchscreen > Health and medical history > Claudication and peripheral artery disease",100038,5540,"Surgery/amputation of toe or leg",51809,54689,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100552
"161","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,5663,"Length of longest manic/irritable episode",43841,46425,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100499
"162","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,5674,"Severity of manic/irritable episodes",43841,46425,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100500
"163","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,5959,"Previously smoked cigarettes on most/all days",2676,2791,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100352
"164","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,6144,"Never eat eggs, dairy, wheat, sugar",498707,595553,"Complete","Categorical multiple","","Data","Primary","Unisex",4,4,100385
"165","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,6145,"Illness, injury, bereavement, stress in last 2 years",498691,655389,"Complete","Categorical multiple","","Data","Primary","Unisex",4,6,100502
"166","Assessment Centre > Touchscreen > Sociodemographics > Other sociodemographic factors",100067,6146,"Attendance/disability/mobility allowance",501513,593628,"Complete","Categorical multiple","","Data","Primary","Unisex",4,3,100510
"167","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,6156,"Manic/hyper symptoms",43841,54577,"Complete","Categorical multiple","","Data","Primary","Unisex",4,4,100498
"168","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,6157,"Why stopped smoking",122824,174017,"Complete","Categorical multiple","","Data","Primary","Unisex",4,4,100361
"169","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,6158,"Why reduced smoking",17177,22978,"Complete","Categorical multiple","","Data","Primary","Unisex",4,4,100361
"170","Assessment Centre > Touchscreen > Psychosocial factors > Social support",100061,6160,"Leisure/social activities",501549,765408,"Complete","Categorical multiple","","Data","Primary","Unisex",4,5,100328
"171","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,6162,"Types of transport used (excluding work)",496852,949232,"Complete","Categorical multiple","","Data","Primary","Unisex",4,4,100299
"172","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,6164,"Types of physical activity in last 4 weeks",497105,1316996,"Complete","Categorical multiple","","Data","Primary","Unisex",4,5,100316
"173","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,6183,"Number of cigarettes previously smoked daily (current cigar/pipe smokers)",1816,1881,"Complete","Integer","","Data","Primary","Unisex",4,1,100353
"174","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,6194,"Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker)",1816,1881,"Complete","Integer","years","Data","Primary","Unisex",4,1,100291
"175","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,10115,"Why stopped smoking (pilot)",930,930,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100669
"176","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,10721,"Illness, injury, bereavement, stress in last 2 years (pilot)",3769,4341,"Complete","Categorical multiple","","Data","Primary","Unisex",1,5,100683
"177","Assessment Centre > Touchscreen > Psychosocial factors > Social support",100061,10740,"Frequency of friend/family visits (pilot)",3769,3769,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100662
"178","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,10767,"Spread type (pilot)",3769,3769,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100673
"179","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,10776,"Bread type/intake (pilot)",3652,3652,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100674
"180","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,10818,"Reason for reducing amount of alcohol drunk (pilot)",1514,1514,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100669
"181","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,10827,"Ever stopped smoking for 6+ months (pilot)",930,930,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100668
"182","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,10853,"Reason former drinker stopped drinking alcohol (pilot)",138,138,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100669
"183","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,10855,"Never eat eggs, dairy, wheat, sugar (pilot)",3769,3937,"Complete","Categorical multiple","","Data","Primary","Unisex",1,4,100672
"184","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,10895,"Light smokers, at least 100 smokes in lifetime (pilot)",934,934,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100352
"185","Assessment Centre > Touchscreen > Lifestyle and environment > Diet",100052,10912,"Variation in diet (pilot)",3769,3769,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100394
"186","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,10953,"Duration of walks (pilot)",3633,3633,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100659
"187","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,10962,"Duration of moderate physical activity (pilot)",3044,3044,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100659
"188","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity",100054,10971,"Duration of vigorous physical activity (pilot)",1979,1979,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100659
"189","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,12143,"Weight (pre-imaging)",51519,56816,"Accruing","Integer","Kg","Data","Primary","Unisex",2,1,NA
"190","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,12144,"Height",51519,56816,"Accruing","Integer","cm","Data","Primary","Unisex",2,1,NA
"191","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,20015,"Sitting height",497149,571529,"Complete","Continuous","cm","Data","Derived","Unisex",4,1,NA
"192","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,20041,"Reason for skipping weight",1044,1044,"Complete","Categorical single","","Data","Derived","Unisex",1,1,47
"193","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,20045,"Reason for skipping waist",445,445,"Complete","Categorical single","","Data","Derived","Unisex",1,1,47
"194","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,20046,"Reason for skipping hip measurement",504,504,"Complete","Categorical single","","Data","Derived","Unisex",1,1,47
"195","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,20047,"Reason for skipping standing height",823,823,"Complete","Categorical single","","Data","Derived","Unisex",1,1,47
"196","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,20048,"Reason for skipping sitting height",843,843,"Complete","Categorical single","","Data","Derived","Unisex",1,1,47
"197","Online follow-up > Diet by 24-hour recall > Alcoholic beverages yesterday",100100,20095,"Size of white wine glass drunk",47032,65476,"Complete","Categorical multiple","","Data","Derived","Unisex",5,3,82
"198","Online follow-up > Diet by 24-hour recall > Alcoholic beverages yesterday",100100,20096,"Size of red wine glass drunk",59435,87723,"Complete","Categorical multiple","","Data","Derived","Unisex",5,2,82
"199","Online follow-up > Diet by 24-hour recall > Alcoholic beverages yesterday",100100,20097,"Size of rose wine glass drunk",10886,12436,"Complete","Categorical multiple","","Data","Derived","Unisex",5,2,82
"200","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,20116,"Smoking status",501540,578254,"Complete","Categorical single","","Data","Derived","Unisex",4,1,90
"201","Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol",100051,20117,"Alcohol drinker status",501534,578248,"Accruing","Categorical single","","Data","Derived","Unisex",4,1,90
"202","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,20122,"Bipolar disorder status",1615,1615,"Complete","Categorical single","","Data","Derived","Unisex",1,1,100694
"203","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,20123,"Single episode of probable major depression",9751,9751,"Complete","Categorical single","","Data","Derived","Unisex",1,1,7
"204","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,20124,"Probable recurrent major depression (moderate)",15240,15240,"Complete","Categorical single","","Data","Derived","Unisex",1,1,7
"205","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,20125,"Probable recurrent major depression (severe)",9398,9398,"Complete","Categorical single","","Data","Derived","Unisex",1,1,7
"206","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,20126,"Bipolar and major depression status",122951,122951,"Complete","Categorical single","","Data","Derived","Unisex",1,1,100695
"207","Assessment Centre > Touchscreen > Psychosocial factors > Mental health",100060,20127,"Neuroticism score",401502,401502,"Complete","Integer","","Data","Derived","Unisex",1,1,NA
"208","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,20160,"Ever smoked",499659,576013,"Complete","Categorical single","","Data","Derived","Unisex",4,1,7
"209","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,20161,"Pack years of smoking",152688,169636,"Complete","Continuous","years","Data","Derived","Unisex",4,1,NA
"210","Assessment Centre > Touchscreen > Lifestyle and environment > Smoking",100058,20162,"Pack years adult smoking as proportion of life span exposed to smoking",152688,169636,"Complete","Continuous","Units","Data","Derived","Unisex",4,1,NA
"211","Online follow-up > Mental health > Alcohol use",142,20403,"Amount of alcohol drunk on a typical drinking day",143638,143638,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,522
"212","Online follow-up > Mental health > Alcohol use",142,20414,"Frequency of drinking alcohol",157316,157316,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,521
"213","Online follow-up > Mental health > Depression",138,20449,"Feelings of tiredness during worst episode of depression",89011,89011,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,502
"214","Online follow-up > Mental health > Cannabis use",143,20453,"Ever taken cannabis",157316,157316,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,526
"215","Online follow-up > Mental health > Cannabis use",143,20454,"Maximum frequency of taking cannabis",34870,34870,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,527
"216","Online follow-up > Mental health > Cannabis use",143,20455,"Age when last took cannabis",34870,34870,"Accruing","Integer","","Data","Primary","Unisex",1,1,NA
"217","Online follow-up > Mental health > Depression",138,20517,"Trouble falling or staying asleep, or sleeping too much",157316,157316,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,504
"218","Online follow-up > Mental health > Depression",138,20519,"Recent feelings of tiredness or low energy",157316,157316,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,504
"219","Online follow-up > Mental health > Depression",138,20532,"Did your sleep change?",89011,89011,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,502
"220","Online follow-up > Mental health > Depression",138,20533,"Trouble falling asleep",60887,60887,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,508
"221","Online follow-up > Mental health > Depression",138,20534,"Sleeping too much",60887,60887,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,508
"222","Online follow-up > Mental health > Depression",138,20535,"Waking too early",60887,60887,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,508
"223","Online follow-up > Mental health > Depression",138,20547,"Activities undertaken to treat depression",40325,47670,"Accruing","Categorical multiple","","Data","Primary","Unisex",1,2,1406
"224","Assessment Centre > Touchscreen > Sociodemographics > Ethnicity",100065,21000,"Ethnic background",501521,533516,"Complete","Categorical single","","Data","Derived","Unisex",3,1,1001
"225","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,21001,"Body mass index (BMI)",499421,574596,"Complete","Continuous","Kg/m2","Data","Derived","Unisex",4,1,NA
"226","Assessment Centre > Physical measures > Anthropometry > Body size measures",100010,21002,"Weight",499735,575119,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"227","Population characteristics > Baseline characteristics",100094,21022,"Age at recruitment",502413,502413,"Complete","Integer","years","Data","Derived","Unisex",1,1,NA
"228","Online follow-up > Digestive health",153,21061,"Degree bothered by trouble sleeping in the last 3 months",174733,174733,"Accruing","Categorical single","","Data","Primary","Unisex",1,1,339
"229","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores",54,22032,"IPAQ activity group",402307,402307,"Complete","Categorical single","","Data","Derived","Unisex",1,1,100700
"230","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores",54,22033,"Summed days activity",413963,413963,"Complete","Integer","days","Data","Derived","Unisex",1,1,NA
"231","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores",54,22034,"Summed minutes activity",402307,402307,"Complete","Integer","minutes","Data","Derived","Unisex",1,1,NA
"232","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores",54,22035,"Above moderate/vigorous recommendation",402307,402307,"Complete","Categorical single","","Data","Derived","Unisex",1,1,7
"233","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores",54,22036,"Above moderate/vigorous/walking recommendation",402195,402195,"Complete","Categorical single","","Data","Derived","Unisex",1,1,7
"234","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores",54,22037,"MET minutes per week for walking",402307,402307,"Complete","Continuous","minutes/week","Data","Derived","Unisex",1,1,NA
"235","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores",54,22038,"MET minutes per week for moderate activity",402307,402307,"Complete","Continuous","minutes/week","Data","Derived","Unisex",1,1,NA
"236","Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores",54,22039,"MET minutes per week for vigorous activity",402307,402307,"Complete","Continuous","minutes/week","Data","Derived","Unisex",1,1,NA
"237","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23098,"Weight",493026,566317,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"238","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23099,"Body fat percentage",492773,566014,"Complete","Continuous","percent","Data","Derived","Unisex",4,1,NA
"239","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23100,"Whole body fat mass",492243,565403,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"240","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23101,"Whole body fat-free mass",492979,566265,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"241","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23102,"Whole body water mass",493023,566312,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"242","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23104,"Body mass index (BMI)",493021,566309,"Complete","Continuous","Kg/m2","Data","Derived","Unisex",4,1,NA
"243","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23111,"Leg fat percentage (right)",492993,566278,"Complete","Continuous","percent","Data","Derived","Unisex",4,1,NA
"244","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23112,"Leg fat mass (right)",492985,566269,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"245","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23113,"Leg fat-free mass (right)",492976,566257,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"246","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23114,"Leg predicted mass (right)",492975,566256,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"247","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23115,"Leg fat percentage (left)",492966,566246,"Complete","Continuous","percent","Data","Derived","Unisex",4,1,NA
"248","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23116,"Leg fat mass (left)",492961,566241,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"249","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23117,"Leg fat-free mass (left)",492948,566222,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"250","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23118,"Leg predicted mass (left)",492942,566216,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"251","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23119,"Arm fat percentage (right)",492932,566204,"Complete","Continuous","percent","Data","Derived","Unisex",4,1,NA
"252","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23120,"Arm fat mass (right)",492901,566168,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"253","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23121,"Arm fat-free mass (right)",492903,566166,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"254","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23122,"Arm predicted mass (right)",492895,566158,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"255","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23123,"Arm fat percentage (left)",492874,566135,"Complete","Continuous","percent","Data","Derived","Unisex",4,1,NA
"256","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23124,"Arm fat mass (left)",492836,566091,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"257","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23125,"Arm fat-free mass (left)",492821,566077,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"258","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23126,"Arm predicted mass (left)",492804,566058,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"259","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23127,"Trunk fat percentage",492775,566015,"Complete","Continuous","percent","Data","Derived","Unisex",4,1,NA
"260","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23128,"Trunk fat mass",492753,565988,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"261","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23129,"Trunk fat-free mass",492683,565904,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"262","Assessment Centre > Physical measures > Anthropometry > Body composition by impedance",100009,23130,"Trunk predicted mass",492642,565845,"Complete","Continuous","Kg","Data","Derived","Unisex",4,1,NA
"263","Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes",50,42030,"Date of all cause parkinsonism report",4192,4192,"Ongoing","Date","","Data","Derived","Unisex",1,1,272
"264","Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes",50,42031,"Source of all cause parkinsonism report",4192,4192,"Ongoing","Categorical single","","Data","Derived","Unisex",1,1,300
"265","Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes",50,42032,"Date of parkinson's disease report",3807,3807,"Ongoing","Date","","Data","Derived","Unisex",1,1,272
"266","Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes",50,42033,"Source of parkinson's disease report",3807,3807,"Ongoing","Categorical single","","Data","Derived","Unisex",1,1,300
"267","Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes",50,42034,"Date of progressive supranuclear palsy report",180,180,"Ongoing","Date","","Data","Derived","Unisex",1,1,272
"268","Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes",50,42035,"Source of progressive supranuclear palsy report",180,180,"Ongoing","Categorical single","","Data","Derived","Unisex",1,1,300
"269","Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes",50,42036,"Date of multiple system atrophy report",118,118,"Ongoing","Date","","Data","Derived","Unisex",1,1,272
"270","Health-related outcomes > Algorithmically-defined outcomes > Parkinson's disease outcomes",50,42037,"Source of multiple system atrophy report",118,118,"Ongoing","Categorical single","","Data","Derived","Unisex",1,1,300
"271","Additional exposures > Physical activity measurement",1008,90001,"Acceleration data - cwa format",103672,115448,"Accruing","Text","","Bulk","Primary","Unisex",5,1,NA
"272","Additional exposures > Physical activity measurement > Raw accelerometer statistics",1013,90002,"Data problem indicator",4694,4694,"Updateable","Categorical single","","Data","Derived","Unisex",1,1,93
"273","Additional exposures > Physical activity measurement > Accelerometer wear time duration",1011,90003,"Start of requested wear period",103672,103672,"Accruing","Time","","Data","Primary","Unisex",1,1,NA
"274","Additional exposures > Physical activity measurement",1008,90004,"Acceleration intensity time-series",103671,103671,"Complete","Text","","Bulk","Derived","Unisex",1,1,NA
"275","Additional exposures > Physical activity measurement > Accelerometer wear time duration",1011,90010,"Start time of wear",103671,103671,"Accruing","Time","","Data","Derived","Unisex",1,1,NA
"276","Additional exposures > Physical activity measurement > Accelerometer wear time duration",1011,90011,"End time of wear",103671,103671,"Accruing","Time","","Data","Derived","Unisex",1,1,NA
"277","Additional exposures > Physical activity measurement > Acceleration averages",1009,90012,"Overall acceleration average",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"278","Additional exposures > Physical activity measurement > Acceleration averages",1009,90013,"Standard deviation of acceleration",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"279","Additional exposures > Physical activity measurement > Accelerometer wear time duration",1011,90015,"Data quality, good wear time",103671,103671,"Accruing","Categorical single","","Data","Derived","Unisex",1,1,7
"280","Additional exposures > Physical activity measurement > Accelerometer calibration",1012,90016,"Data quality, good calibration",103671,103671,"Accruing","Categorical single","","Data","Derived","Unisex",1,1,7
"281","Additional exposures > Physical activity measurement > Accelerometer calibration",1012,90017,"Data quality, calibrated on own data",103671,103671,"Accruing","Categorical single","","Data","Derived","Unisex",1,1,7
"282","Additional exposures > Physical activity measurement > Accelerometer wear time duration",1011,90018,"Daylight savings crossover",103671,103671,"Accruing","Categorical single","","Data","Derived","Unisex",1,1,7
"283","Additional exposures > Physical activity measurement > Acceleration averages",1009,90019,"Monday average acceleration",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"284","Additional exposures > Physical activity measurement > Acceleration averages",1009,90020,"Tuesday average acceleration",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"285","Additional exposures > Physical activity measurement > Acceleration averages",1009,90021,"Wednesday average acceleration",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"286","Additional exposures > Physical activity measurement > Acceleration averages",1009,90022,"Thursday average acceleration",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"287","Additional exposures > Physical activity measurement > Acceleration averages",1009,90023,"Friday average acceleration",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"288","Additional exposures > Physical activity measurement > Acceleration averages",1009,90024,"Saturday average acceleration",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"289","Additional exposures > Physical activity measurement > Acceleration averages",1009,90025,"Sunday average acceleration",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"290","Additional exposures > Physical activity measurement > Accelerometer wear time duration",1011,90026,"First weekday of wear",103671,103671,"Accruing","Categorical single","","Data","Derived","Unisex",1,1,777
"291","Additional exposures > Physical activity measurement > Acceleration averages",1009,90027,"Average acceleration 00:00 - 00:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"292","Additional exposures > Physical activity measurement > Acceleration averages",1009,90028,"Average acceleration 01:00 - 01:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"293","Additional exposures > Physical activity measurement > Acceleration averages",1009,90029,"Average acceleration 02:00 - 02:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"294","Additional exposures > Physical activity measurement > Acceleration averages",1009,90030,"Average acceleration 03:00 - 03:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"295","Additional exposures > Physical activity measurement > Acceleration averages",1009,90031,"Average acceleration 04:00 - 04:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"296","Additional exposures > Physical activity measurement > Acceleration averages",1009,90032,"Average acceleration 05:00 - 05:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"297","Additional exposures > Physical activity measurement > Acceleration averages",1009,90033,"Average acceleration 06:00 - 06:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"298","Additional exposures > Physical activity measurement > Acceleration averages",1009,90034,"Average acceleration 07:00 - 07:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"299","Additional exposures > Physical activity measurement > Acceleration averages",1009,90035,"Average acceleration 08:00 - 08:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"300","Additional exposures > Physical activity measurement > Acceleration averages",1009,90036,"Average acceleration 09:00 - 09:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"301","Additional exposures > Physical activity measurement > Acceleration averages",1009,90037,"Average acceleration 10:00 - 10:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"302","Additional exposures > Physical activity measurement > Acceleration averages",1009,90038,"Average acceleration 11:00 - 11:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"303","Additional exposures > Physical activity measurement > Acceleration averages",1009,90039,"Average acceleration 12:00 - 12:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"304","Additional exposures > Physical activity measurement > Acceleration averages",1009,90040,"Average acceleration 13:00 - 13:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"305","Additional exposures > Physical activity measurement > Acceleration averages",1009,90041,"Average acceleration 14:00 - 14:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"306","Additional exposures > Physical activity measurement > Acceleration averages",1009,90042,"Average acceleration 15:00 - 15:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"307","Additional exposures > Physical activity measurement > Acceleration averages",1009,90043,"Average acceleration 16:00 - 16:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"308","Additional exposures > Physical activity measurement > Acceleration averages",1009,90044,"Average acceleration 17:00 - 17:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"309","Additional exposures > Physical activity measurement > Acceleration averages",1009,90045,"Average acceleration 18:00 - 18:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"310","Additional exposures > Physical activity measurement > Acceleration averages",1009,90046,"Average acceleration 19:00 - 19:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
"311","Additional exposures > Physical activity measurement > Acceleration averages",1009,90047,"Average acceleration 20:00 - 20:59",103671,103671,"Accruing","Continuous","milli-gravity","Data","Derived","Unisex",1,1,NA
